chromatin_code,motif_type,Motif Type,A,B,C,D,p_value,real_count,random_mean_count,log_fold_change
100010011000.00,3221,IV,active,active,active,weak,0,118,1.75,3.76
1.0001E+11,3221,,active,active,poised,weak,0,2,1,0
100010100010.00,3221,IV,active,active,repressed,repressed,0,68,1.75,3.21
1.0001E+11,3221,,active,active,weak,repressed,0,38,1.176470588,2.859881591
100010101000.00,3221,IV,active,active,active,repressed,0,85,1.55,3.51
100020001000.00,3221,IV,active,active,active,active,0,377,1.80,4.90
1.00011E+11,3221,,active,active,weak,poised,0,1,0,0
1.00011E+11,3221,,active,active,repressed,poised,0,1,0,0
1.00011E+11,3221,,active,active,active,poised,0,7,0,1.945910149
1.0002E+11,3221,,active,active,weak,active,0,36,1.5,2.667228207
1.0002E+11,3221,,active,active,repressed,active,0,31,1.238095238,2.62836204
300001000.00,3111,V,weak,weak,weak,active,0.028,51,30.29,0.49
1.001E+11,2211,,active,weak,weak,weak,0.996,98,152.8,-0.450685578
1.001E+11,2211,,active,repressed,weak,weak,1,204,655.984,-1.169539671
1.001E+11,2211,,active,repressed,repressed,weak,1,132,697.21,-1.665717995
1.00101E+11,2211,,active,poised,weak,weak,0.592,12,14.09,-0.229125623
1.00101E+11,2211,,active,poised,repressed,weak,0.994,12,28.61,-0.903205492
1.00102E+11,2211,,active,poised,poised,weak,0.146,1,1.616438356,-0.961813987
1.0011E+11,2211,,active,active,weak,weak,0.924,394,445.898,-0.125979471
1.0011E+11,2211,,active,active,repressed,weak,1,300,948.162,-1.151797015
1.00111E+11,2211,,active,active,poised,weak,0.496,19,19.41,-0.071585998
1.0012E+11,2211,,active,active,active,weak,0.136,361,322.734,0.108955767
1.002E+11,3111,,active,weak,weak,weak,0.748,78,89.514,-0.148795708
1.002E+11,3111,,active,weak,weak,repressed,1,77,192.298,-0.920427618
1.002E+11,3111,,active,weak,weak,poised,0.312,6,4.71827957,0.048091484
1.002E+11,3111,,active,weak,weak,active,0.198,149,130.962,0.121432304
1.01E+11,2211,,active,weak,weak,repressed,1,91,327.892,-1.284869923
1.01E+11,2211,,active,repressed,weak,repressed,1,327,1393.324,-1.450204818
1.01E+11,2211,,active,repressed,repressed,repressed,1,376,1474.168,-1.366938017
1.01001E+11,2211,,active,poised,weak,repressed,0.936,16,29.606,-0.648607346
1.01001E+11,2211,,active,poised,repressed,repressed,0.976,31,59.826,-0.674030125
1.01002E+11,2211,,active,poised,poised,repressed,0.154,2,2.285714286,-0.496436886
1.0101E+11,2211,,active,active,weak,repressed,1,331,948.604,-1.05392668
1.0101E+11,2211,,active,active,repressed,repressed,1,433,2017.158,-1.539202765
1.01011E+11,2211,,active,active,poised,repressed,0.966,21,41.01,-0.693385247
1.0102E+11,2211,,active,active,active,repressed,1,334,686.364,-0.721722999
1.011E+11,3111,,active,repressed,weak,weak,1,110,384.442,-1.253910362
1.011E+11,3111,,active,repressed,weak,repressed,1,228,817.974,-1.278706708
1.011E+11,3111,,active,repressed,weak,poised,0.954,5,17.158,-1.289673323
1.011E+11,3111,,active,repressed,weak,active,1,249,557.632,-0.808038041
1.02E+11,3111,,active,repressed,repressed,weak,1,121,408.238,-1.218506348
1.02E+11,3111,,active,repressed,repressed,repressed,1,256,865.28,-1.219030737
1.02E+11,3111,,active,repressed,repressed,poised,0.772,11,17.206,-0.503855937
1.02E+11,3111,,active,repressed,repressed,active,1,172,593.04,-1.23945218
1.1E+11,2211,,active,weak,weak,poised,0.612,6,6.977822581,-0.284906045
1.1E+11,2211,,active,repressed,weak,poised,0.974,18,29.464,-0.526173901
1.1E+11,2211,,active,repressed,repressed,poised,1,12,30.954,-0.979390719
1.10001E+11,2211,,active,poised,weak,poised,0.012,5,1.827956989,0.569883373
1.10001E+11,2211,,active,poised,repressed,poised,0.214,3,2.494699647,-0.152635145
1.1001E+11,2211,,active,active,weak,poised,0.394,22,20.002,0.046424782
1.1001E+11,2211,,active,active,repressed,poised,1,10,42.164,-1.462421722
1.1002E+11,2211,,active,active,active,poised,0.826,10,14.34,-0.427878703
1.101E+11,3111,,active,poised,weak,weak,0.602,7,8.118951613,-0.264444694
1.101E+11,3111,,active,poised,weak,repressed,0.834,11,16.822,-0.482538376
1.101E+11,3111,,active,poised,weak,poised,0.168,1,1.595238095,-0.953678264
1.101E+11,3111,,active,poised,weak,active,0.746,8,11.41683367,-0.439611564
1.11E+11,3111,,active,poised,repressed,weak,0.942,8,17.39,-0.832365497
1.11E+11,3111,,active,poised,repressed,repressed,0.994,13,35.656,-1.036627768
1.11E+11,3111,,active,poised,repressed,poised,0.18,2,2.628378378,-0.59563864
1.11E+11,3111,,active,poised,repressed,active,0.8,18,24.76,-0.358451143
1.2E+11,3111,,active,poised,poised,repressed,0.266,1,1.571428571,-0.944461609
2E+11,2211,,active,weak,weak,active,1,57,110.156,-0.667883352
2E+11,2211,,active,repressed,weak,active,1,135,476.09,-1.262430374
2E+11,2211,,active,repressed,repressed,active,1,86,503.05,-1.768328173
2.00001E+11,2211,,active,poised,weak,active,0.82,6,10.22044088,-0.625977724
2.00001E+11,2211,,active,poised,repressed,active,0.974,8,20.74,-0.99971234
2.0001E+11,2211,,active,active,weak,active,0.882,280,321.358,-0.140873126
2.0001E+11,2211,,active,active,repressed,active,1,201,687.23,-1.230818176
2.00011E+11,2211,,active,active,poised,active,0.982,4,13.848,-1.311570815
200100001000.00,3111,V,active,active,weak,active,0.014,257,190.80,0.29
2.001E+11,3111,,active,active,weak,weak,0.766,114,129.598,-0.135925454
2.001E+11,3111,,active,active,weak,repressed,1,93,278.166,-1.099207094
2.001E+11,3111,,active,active,weak,poised,0.652,4,5.985386221,-0.557525923
300000001000.00,3111,V,active,active,active,active,0,320,91.54,1.24
2.01E+11,3111,,active,active,repressed,weak,1,102,278.594,-1.008365738
2.01E+11,3111,,active,active,repressed,repressed,1,148,590.184,-1.384915032
2.01E+11,3111,,active,active,repressed,poised,1,1,11.72,-2.543175558
2.01E+11,3111,,active,active,repressed,active,1,186,402.85,-0.775296848
2.1E+11,3111,,active,active,poised,weak,0.716,4,5.9168357,-0.547664035
2.1E+11,3111,,active,active,poised,repressed,0.982,4,12.186,-1.1928613
2.1E+11,3111,,active,active,poised,active,0.492,8,8.0501002,-0.123334288
3E+11,3111,,active,active,active,weak,0.48,63,62.478,-0.007558663
3E+11,3111,,active,active,active,repressed,1,51,134.238,-0.975210556
200020000000.00,2211,VI,active,active,active,active,0,793,233.44,1.22
